"","x"
"1",0
"2",0.00584795321637427
"3",0.0087719298245614
"4",0.0116959064327485
"5",0.0087719298245614
"6",0.0087719298245614
"7",0.0087719298245614
"8",0.00584795321637427
"9",0.0116959064327485
"10",0.0087719298245614
"11",0.00584795321637427
"12",0.0087719298245614
"13",0.0087719298245614
"14",0.00584795321637427
"15",0.0116959064327485
"16",0.00584795321637427
"17",0.0087719298245614
"18",0.0116959064327485
"19",0.00584795321637427
"20",0.0087719298245614
"21",0.0146198830409357
"22",0.0087719298245614
"23",0.00292397660818713
"24",0.0087719298245614
"25",0.00584795321637427
"26",0.0087719298245614
"27",0.0087719298245614
"28",0.00584795321637427
"29",0.0087719298245614
"30",0.00584795321637427
"31",0.00584795321637427
"32",0.00584795321637427
"33",0.00584795321637427
"34",0.00584795321637427
"35",0.00584795321637427
"36",0.0087719298245614
"37",0.00584795321637427
"38",0.00584795321637427
"39",0.00584795321637427
"40",0.00292397660818713
"41",0.00584795321637427
"42",0.00292397660818713
"43",0.00292397660818713
"44",0.00292397660818713
"45",0.00292397660818713
"46",0.00584795321637427
"47",0.00584795321637427
"48",0.00584795321637427
"49",0.00292397660818713
"50",0.00292397660818713
"51",0.00292397660818713
"52",0.00292397660818713
"53",0.00292397660818713
"54",0.00292397660818713
"55",0.00292397660818713
"56",0.00292397660818713
"57",0.00292397660818713
"58",0.00292397660818713
"59",0.00292397660818713
"60",0.00292397660818713
"61",0.00292397660818713
"62",0.00292397660818713
"63",0.00292397660818713
"64",0.00292397660818713
"65",0.00292397660818713
"66",0.00292397660818713
"67",0.00292397660818713
"68",0.00292397660818713
"69",0.00292397660818713
"70",0.00292397660818713
"71",0.00292397660818713
"72",0.00292397660818713
"73",0.00292397660818713
"74",0.00292397660818713
"75",0.00292397660818713
"76",0.00292397660818713
"77",0.00292397660818713
"78",0.00292397660818713
"79",0.00292397660818713
"80",0.00292397660818713
"81",0.00292397660818713
"82",0.00292397660818713
"83",0.00292397660818713
"84",0.00292397660818713
"85",0.00584795321637427
"86",0.00292397660818713
"87",0.00292397660818713
"88",0.00292397660818713
"89",0.00292397660818713
"90",0.00292397660818713
"91",0.00292397660818713
"92",0.00292397660818713
"93",0.00292397660818713
"94",0.00292397660818713
"95",0.00292397660818713
"96",0.00292397660818713
"97",0.00292397660818713
"98",0.00292397660818713
"99",0.00292397660818713
"100",0.00584795321637427
"101",0.00584795321637427
"102",0.00584795321637427
"103",0.00584795321637427
"104",0.00584795321637427
"105",0.00584795321637427
"106",0.00584795321637427
"107",0.00292397660818713
"108",0.00292397660818713
"109",0.00292397660818713
"110",0.00292397660818713
"111",0.00292397660818713
"112",0.00292397660818713
"113",0.00292397660818713
"114",0.00584795321637427
"115",0.00292397660818713
"116",0.00292397660818713
"117",0.00292397660818713
"118",0.00292397660818713
"119",0.00292397660818713
"120",0.00292397660818713
"121",0.00292397660818713
"122",0.00292397660818713
"123",0.00292397660818713
"124",0.00292397660818713
"125",0.00292397660818713
"126",0.00292397660818713
"127",0.00584795321637427
"128",0.0087719298245614
"129",0.00584795321637427
"130",0.0087719298245614
"131",0.00584795321637427
"132",0.00584795321637427
"133",0.00584795321637427
"134",0.00584795321637427
"135",0.00292397660818713
"136",0.00292397660818713
"137",0.00584795321637427
"138",0.00584795321637427
"139",0.00584795321637427
"140",0.00584795321637427
"141",0.00584795321637427
"142",0.00584795321637427
"143",0.00584795321637427
"144",0.00584795321637427
"145",0.00584795321637427
"146",0.00584795321637427
"147",0.00584795321637427
"148",0.00584795321637427
"149",0.00584795321637427
"150",0.00584795321637427
"151",0.00584795321637427
"152",0.00584795321637427
"153",0.0087719298245614
"154",0.0116959064327485
"155",0.00292397660818713
"156",0.00584795321637427
"157",0.0087719298245614
"158",0.00584795321637427
"159",0.00584795321637427
"160",0.0087719298245614
"161",0.00292397660818713
"162",0.00584795321637427
"163",0.0087719298245614
"164",0.0087719298245614
"165",0.00584795321637427
"166",0.00292397660818713
"167",0.00292397660818713
"168",0.00292397660818713
"169",0.00292397660818713
"170",0.00584795321637427
"171",0.00292397660818713
"172",0
"173",0.00584795321637427
"174",0.00292397660818713
"175",0.00584795321637427
"176",0.00292397660818713
"177",0.00292397660818713
"178",0.00292397660818713
"179",0.00292397660818713
"180",0.00292397660818713
"181",0.00292397660818713
"182",0.00292397660818713
"183",0.00584795321637427
"184",0.00292397660818713
"185",0.00292397660818713
"186",0.00292397660818713
"187",0.00584795321637427
"188",0.00584795321637427
"189",0.00292397660818713
"190",0.00292397660818713
"191",0.00292397660818713
"192",0.00292397660818713
"193",0.00292397660818713
"194",0.00584795321637427
"195",0.00584795321637427
"196",0.00584795321637427
"197",0.00584795321637427
"198",0.00292397660818713
"199",0.00292397660818713
"200",0.00292397660818713
"201",0.00292397660818713
"202",0.00292397660818713
"203",0.00584795321637427
"204",0.00584795321637427
"205",0.00292397660818713
"206",0.00584795321637427
"207",0.0087719298245614
"208",0.00584795321637427
"209",0.00292397660818713
"210",0.00292397660818713
"211",0.00292397660818713
"212",0.00292397660818713
"213",0.00292397660818713
"214",0.00292397660818713
"215",0.00292397660818713
"216",0.00292397660818713
"217",0.00292397660818713
"218",0.00292397660818713
"219",0.00292397660818713
"220",0.00292397660818713
"221",0.00292397660818713
"222",0.00584795321637427
"223",0.00584795321637427
"224",0.00292397660818713
"225",0.00584795321637427
"226",0.00584795321637427
"227",0.00292397660818713
"228",0.00584795321637427
"229",0.00292397660818713
"230",0.00292397660818713
"231",0.00292397660818713
"232",0.00584795321637427
"233",0.0087719298245614
"234",0.00292397660818713
"235",0.00292397660818713
"236",0.00292397660818713
"237",0.00292397660818713
"238",0.00292397660818713
"239",0.00292397660818713
"240",0.00292397660818713
"241",0.00584795321637427
"242",0.00292397660818713
"243",0.00292397660818713
"244",0.00584795321637427
"245",0.00584795321637427
"246",0.0087719298245614
"247",0.00292397660818713
"248",0.00584795321637427
"249",0.00292397660818713
"250",0.00292397660818713
"251",0.00292397660818713
"252",0.00292397660818713
"253",0.00292397660818713
"254",0.00292397660818713
"255",0.00292397660818713
"256",0.00292397660818713
"257",0.00292397660818713
